 |WURZEL|STAMM|VERB|NOMEN|ADJEKTIV|WEITERE|KOGNATE|BEDEUTUNG|GLOSE
| dole | dole | ver- dole -n | die Dole | | | |Resultat|
| dolmetsch | dolmetsch | dolmetsch -en | | | | Lehnwort < turk. dilmaç |Stimmgeräusch|
| donn | donn -er | donner -n | der Donner | | | < mhd. dunen "dröhnen" |Resultat|
| dope | dope | dope -n | | | | neues Lehnwort < en. | |
| doppel | doppel | doppel -n | das Doppel | | |  ~ doppelt |Resultat|
| dorn | dorn | auf- dorn -en | das Dorn | | | |Instrument|
| dös | dös | dös -en | | | | | | "schlafen"
| dose | dose | ein- dose -n | die Dose | | | |Instrument|
| double | double | doubel -n | das Double | | | 19. Jhd. Lehnwort < fr. double |Lebewesen|
| download | download | download -en | der Download | | | neues Lehnwort < en. |Resultat|
| dox | dox | dox -en | | | | neues Lehnwort < en. | |
| draht | draht | draht -en | der Draht | | | |Instrument|
| dräu | dräu | dräu -en | | | | ~ drohen |Stimmgeräusch|
| drech-sel | drechsel -er | drechsler -n | der Drechsler | | | |Lebewesen|
| dreck | dreck | dreck -en | der Dreck | | | |Resultat|
| dreck | dreck | dreck -er -n | der Dreck | | | |Instrument|
| dreh | drech | drech -sel -n | | | | ~ drehen | |
| dreh | dreh | dreh -en | der Dreh | | | |Resultat| "geschickte Drehung > Trick, Einfall"
| dreist | dreist | er- dreist -en | | dreist | | | |
| dremmel | dremmel | dremmel -n | | | | |Stimmgeräusch| "bitten"
| dresch | dresch | dresch -en | die Dresch -e | | | |Resultat|
| dribble | dribbel | dribbel -n | | | | neues Lehnwort < en. | |
